ID Geography,Geography,Population (2018)
05000US26087,"Lapeer County, MI",88028
05000US26081,"Kent County, MI",653786
05000US47059,"Greene County, TN",69087
05000US12001,"Alachua County, FL",269956
05000US53027,"Grays Harbor County, WA",73901
05000US26077,"Kalamazoo County, MI",264870
05000US26075,"Jackson County, MI",158823
05000US47065,"Hamilton County, TN",364286
05000US12005,"Bay County, FL",185287
05000US26073,"Isabella County, MI",70562
05000US26065,"Ingham County, MI",292735
05000US47093,"Knox County, TN",465289
05000US12009,"Brevard County, FL",596849
05000US53025,"Grant County, WA",97331
05000US26055,"Grand Traverse County, MI",92573
05000US26049,"Genesee County, MI",406892
05000US47113,"Madison County, TN",97605
05000US12011,"Broward County, FL",1951260
05000US26045,"Eaton County, MI",109826
05000US26037,"Clinton County, MI",79332
05000US47119,"Maury County, TN",94340
05000US12015,"Charlotte County, FL",184998
05000US53021,"Franklin County, WA",94347
05000US26025,"Calhoun County, MI",134487
05000US26021,"Berrien County, MI",154141
05000US47125,"Montgomery County, TN",205950
05000US12017,"Citrus County, FL",147929
05000US26017,"Bay County, MI",103923
05000US26005,"Allegan County, MI",117327
05000US47141,"Putnam County, TN",78843
05000US12019,"Clay County, FL",216072
05000US53015,"Cowlitz County, WA",108987
05000US25027,"Worcester County, MA",830839
05000US25025,"Suffolk County, MA",807252
05000US47147,"Robertson County, TN",71012
05000US12021,"Collier County, FL",378488
05000US25023,"Plymouth County, MA",518132
05000US25021,"Norfolk County, MA",705388
05000US47149,"Rutherford County, TN",324890
05000US12023,"Columbia County, FL",70503
05000US53011,"Clark County, WA",481857
05000US25017,"Middlesex County, MA",1614714
05000US25015,"Hampshire County, MA",161355
05000US47155,"Sevier County, TN",97892
05000US12031,"Duval County, FL",950181
05000US25013,"Hampden County, MA",470406
05000US25011,"Franklin County, MA",70963
05000US47157,"Shelby County, TN",935764
05000US12033,"Escambia County, FL",315534
05000US53009,"Clallam County, WA",76737
05000US25009,"Essex County, MA",790638
05000US25005,"Bristol County, MA",564022
05000US47163,"Sullivan County, TN",157668
05000US12035,"Flagler County, FL",112067
05000US25003,"Berkshire County, MA",126348
05000US25001,"Barnstable County, MA",213413
05000US47165,"Sumner County, TN",187149
05000US12053,"Hernando County, FL",190865
05000US53007,"Chelan County, WA",77036
05000US24510,"Baltimore city, MD",602495
05000US24045,"Wicomico County, MD",103195
05000US47179,"Washington County, TN",128607
05000US12055,"Highlands County, FL",105424
05000US24043,"Washington County, MD",150926
05000US24037,"St. Mary's County, MD",112664
05000US47187,"Williamson County, TN",231729
05000US12057,"Hillsborough County, FL",1436888
05000US53005,"Benton County, WA",201877
05000US24033,"Prince George's County, MD",909308
